side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
5,61,rusher_vs_rusher,rusher,rusher,enemy,territory,74,37,37,37,2,37,1,36,22,35,192,192,0,0,5,8,2,197,16,88,0,2,109,19,104,0,3,88,0,0,191,10,2,788,1,6,8,3,9,10,0,0,0
5,61,rusher_vs_utility_balancer,rusher,utility_balancer,player,territory,97,37,49,48,37,23,36,22,1,56,412,356,56,67,0,6,2,36,15,244,0,0,31,41,168,67,0,5,469,177,867,162,122,867,12,12,8,12,12,12,4,6,2
5,61,rusher_vs_utility_rusher,rusher,utility_rusher,enemy,territory,34,37,17,17,9,37,8,36,15,42,81,70,11,20,0,11,1,45,15,42,0,0,40,27,39,20,0,5,0,0,102,65,91,212,1,4,6,0,12,11,7,9,2
5,61,rusher_vs_utility_economist,rusher,utility_economist,enemy,territory,46,37,23,23,16,37,15,36,8,49,141,127,14,24,0,13,2,42,15,77,0,0,37,34,64,24,0,5,0,3,173,110,153,342,8,5,12,10,12,11,6,10,3
5,61,rusher_vs_utility_fortifier,rusher,utility_fortifier,enemy,territory,46,37,23,23,14,37,13,36,10,47,134,114,20,38,0,3,1,50,14,76,0,0,45,33,58,38,0,5,14,0,213,72,94,272,6,3,6,7,12,7,9,16,3
5,61,rusher_vs_utility_aggro_turtle,rusher,utility_aggro_turtle,player,full_board_majority,55,37,28,27,31,30,30,29,0,57,166,126,40,54,0,6,2,43,19,108,0,0,35,38,58,54,0,8,49,3,436,95,123,265,0,9,7,0,12,12,6,9,2
5,61,rusher_vs_utility_opportunist,rusher,utility_opportunist,enemy,territory,38,37,19,19,11,37,10,36,13,44,94,80,14,29,1,8,1,47,15,51,0,1,42,29,43,29,0,5,0,2,117,79,133,243,1,6,6,0,12,11,9,15,3
5,61,utility_balancer_vs_phase_player,utility_balancer,phase_player,enemy,full_board_majority,58,37,29,29,28,33,27,32,0,57,146,100,46,84,7,27,2,21,30,66,56,2,9,27,80,28,5,12,228,114,240,31,126,862,12,12,12,0,8,11,19,33,3
5,61,utility_balancer_vs_rusher,utility_balancer,rusher,player,domination,29,37,15,14,35,1,34,0,25,32,50,44,6,26,2,5,1,55,23,27,26,1,5,9,23,0,1,50,60,81,127,0,0,33,0,12,9,1,2,5,15,20,2
5,61,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,enemy,full_board_majority,47,37,24,23,30,31,29,30,0,57,77,67,10,117,6,8,2,13,25,39,63,3,7,32,38,54,3,6,183,120,309,251,120,122,12,12,0,0,12,12,39,107,3
