side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,natural_winner,natural_win_reason,timeout_margin,timeout_controlled_diff,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,tunnel_entrance,tunnel_extend,tunnel_raid,repair_build,tunnel_raid_takeovers,shield_bypassed,collapsed_fields_total,p_build,p_raid,p_fortify,p_rebuild,p_wait,p_tunnel_entrance,p_tunnel_extend,p_tunnel_raid,p_repair_build,e_build,e_raid,e_fortify,e_rebuild,e_wait,e_tunnel_entrance,e_tunnel_extend,e_tunnel_raid,e_repair_build,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield,collapsed_fields_final,tunnel_edges_final,tunnel_nodes_final,network_components_final,largest_tunnel_component,fields_with_tunnel_entrance,max_tunnel_pressure_final,avg_tunnel_pressure_final_x100
4,37,phase_player_vs_opening_resource_spammer,phase_player,opening_resource_spammer,enemy,territory,enemy,territory,5,0,54,23,27,27,12,23,11,22,2,31,168,144,24,28,15,19,1,59,0,0,0,0,0,0,0,18,68,28,15,10,0,0,0,0,13,100,0,0,49,0,0,0,0,3,117,66,427,60,137,5,10,12,6,6,1,4,4,1,0,0,0,0,0,0,0,0
4,37,phase_player_vs_tunnel_all_in_probe,phase_player,tunnel_all_in_probe,player,domination,player,domination,5,0,11,23,6,5,15,1,14,0,21,12,6,6,0,6,0,2,1,28,2,1,3,0,3,3,0,10,6,6,0,6,0,0,0,0,2,0,0,0,22,2,1,3,0,2,0,1,0,0,1,12,10,11,0,2,4,6,6,1,0,1,2,1,2,2,2,11
4,37,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,23,23,12,11,19,18,18,17,0,33,47,33,14,29,0,9,2,16,0,0,0,0,0,0,0,12,29,14,0,6,0,0,0,0,21,18,15,0,10,0,0,0,0,7,47,30,11,27,10,4,12,8,4,12,12,13,14,2,0,0,0,0,0,0,0,0
4,37,phase_player_vs_utility_tunneler,phase_player,utility_tunneler,player,domination,player,domination,5,0,13,23,7,6,16,1,15,0,20,13,14,13,1,7,2,4,2,26,3,3,0,0,0,0,0,11,9,6,2,7,0,0,0,0,2,5,1,0,19,3,3,0,0,0,5,1,0,0,0,12,12,9,0,5,3,6,6,1,0,3,4,1,4,3,3,24
4,37,phase_player_vs_rusher,phase_player,rusher,enemy,territory,enemy,territory,5,0,40,23,20,20,10,23,9,22,4,29,119,100,19,24,13,15,2,35,0,0,0,0,0,0,0,12,48,24,13,6,0,0,0,0,17,71,0,0,29,0,0,0,0,0,130,67,0,0,266,3,12,12,7,2,7,5,5,1,0,0,0,0,0,0,0,0
4,37,phase_player_vs_phase_player,phase_player,phase_player,enemy,full_board_majority,enemy,full_board_majority,5,0,26,23,13,13,15,22,14,21,0,33,51,38,13,28,12,15,2,11,0,0,0,0,0,0,0,15,22,14,7,5,0,0,0,0,18,29,14,5,6,0,0,0,0,4,20,72,6,0,108,11,9,12,0,6,10,15,15,1,0,0,0,0,0,0,0,0
5,61,opening_resource_spammer_vs_opening_resource_spammer,opening_resource_spammer,opening_resource_spammer,,timeout_draw,,none,5,-3,81,37,40,40,16,19,15,18,26,31,275,275,0,0,0,0,0,174,0,0,0,0,0,0,0,19,135,0,0,86,0,0,0,0,12,140,0,0,88,0,0,0,0,221,0,316,350,0,377,6,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,61,opening_resource_spammer_vs_tunnel_all_in_probe,opening_resource_spammer,tunnel_all_in_probe,player,domination,player,domination,5,0,12,37,6,6,13,1,12,0,47,10,8,8,0,0,0,0,0,39,3,5,5,0,5,5,0,8,8,0,0,18,0,0,0,0,2,0,0,0,21,3,5,5,0,3,1,26,0,0,1,6,6,4,0,0,2,0,0,0,0,5,6,1,6,3,3,21
5,61,opening_resource_spammer_vs_utility_balancer,opening_resource_spammer,utility_balancer,,timeout_draw,,none,5,1,81,37,40,40,30,29,29,28,2,55,289,225,64,78,0,4,1,53,0,0,0,0,0,0,0,13,184,0,0,43,0,0,0,0,42,105,78,0,10,0,0,0,0,609,115,688,243,45,319,6,6,1,12,1,7,2,2,1,0,0,0,0,0,0,0,0
5,61,opening_resource_spammer_vs_utility_tunneler,opening_resource_spammer,utility_tunneler,player,domination,player,domination,5,0,19,37,10,9,20,1,19,0,40,17,24,23,1,1,0,0,1,55,4,5,2,0,2,2,0,13,16,0,0,26,0,0,0,0,4,8,1,0,29,4,5,2,0,36,19,36,0,0,3,6,6,4,1,1,2,0,0,0,0,5,6,1,6,4,3,23
5,61,opening_resource_spammer_vs_rusher,opening_resource_spammer,rusher,player,domination,player,domination,5,0,15,37,8,7,19,1,18,0,41,16,26,26,0,0,0,0,0,43,0,0,0,0,0,0,0,9,17,0,0,17,0,0,0,0,7,9,0,0,26,0,0,0,0,22,0,45,0,0,18,6,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0
5,61,opening_resource_spammer_vs_phase_player,opening_resource_spammer,phase_player,enemy,timeout_majority,,none,5,-14,81,37,40,40,21,35,20,34,5,52,236,175,61,76,7,28,1,80,0,0,0,0,0,0,0,18,149,0,0,73,0,0,0,0,34,87,76,7,7,0,0,0,0,671,90,129,52,110,1380,6,6,1,4,6,6,15,15,1,0,0,0,0,0,0,0,0
